"ID","original_I","SOM_A_hori","X","Y","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem"
24,124,10.921514,701002,3456850,-0.0159079991281033,-6.80000011925586e-05,0.919712007045746,15.564546585083,1296.48217773438,8.38000011444092,25
25,125,18.239555,702360,3445110,0,0,0,15.6133270263672,1323.78308105469,23.625,10
26,201,20.057062,709837,3459830,0.00198099995031953,-5.7000001106644e-05,1.1192729473114,15.6137714385986,1271.27172851562,9.96399974822998,16
27,202,23.023157,654038,3413180,0,0,0,15.6067171096802,1450.86608886719,9.56099987030029,37
28,203,17.649183,688577,3410620,-0.00283099990338087,9.50000030570664e-05,1.90693497657776,15.3277454376221,1454.73657226562,10.9969997406006,48
29,204,13.658931,655240,3407240,-0.00638800021260977,-0.000247999996645376,3.58212304115295,15.4023408889771,1477.72583007812,7.56799983978271,97
30,205,28.594519,743567,3444500,-0.00489199999719858,0.000773000007029623,15.5325384140015,14.772741317749,1326.60327148438,6.21099996566772,196
31,206,41.662647,665000.2221,3386798.207,0.00151500001084059,0.000723999983165413,26.4701633453369,13.6336688995361,1663.78283691406,5.99300003051758,434
32,207,24.328627,732960,3413520,-0.00234999996609986,-9.99999974737875e-06,1.14335596561432,15.2362499237061,1381.22241210938,9.6569995880127,59
33,208,16.923158,688499,3415540,0.0234680008143187,0.000334999989718199,5.46747398376465,14.5118579864502,1500.65698242188,9.89099979400635,119
34,209,15.933386,726221,3422460,-0.00243699993006885,0.000345000007655472,3.53393602371216,15.3898525238037,1365.23962402344,7.26200008392334,68
35,210,27.941805,723422,3440180,-0.001475999946706,0.000612000003457069,20.8445377349854,15.2020034790039,1335.83142089844,6.59299993515015,193
36,211,20.372793,724763.5129,3410892.402,-0.00118699995800853,0.000483999989228323,22.8016242980957,14.554594039917,1435.50378417969,5.6729998588562,194
37,212,38.200323,747071,3439350,-0.00527600012719631,0.00113099999725819,16.212438583374,15.1841297149658,1319.30712890625,6.32000017166138,123
38,213,20.927994,669237,3455330,0,0,0,15.704686164856,1314.95349121094,17.3969993591309,4
39,214,12.539406,654836,3420190,-0.00234999996609986,-3.30000002577435e-05,1.50224101543427,15.5858201980591,1432.68701171875,8.56400012969971,51
41,216,16.531315,725995,3444270,-0.000438999995822087,-0.000307000009343028,2.67478489875793,15.2915744781494,1315.63208007812,7.38500022888184,76
42,217,26.105459,744317,3417870,-0.000253000005614012,-0.000226000003749505,0.977620005607605,15.4000720977783,1351.09375,8.56599998474121,58
43,218,22.505251,730935,3408710,-0.00613200012594461,-0.000241000001551583,10.492073059082,14.9261951446533,1404.84020996094,6.83099985122681,120
44,219,24.056273,661454,3405220,-0.000546000024769455,-4.8999998398358e-05,1.15547394752502,15.1760082244873,1495.7568359375,8.7209997177124,128
45,220,13.968454,731391,3402760,0.00458899978548288,-0.000280999985989183,3.82110095024109,14.1140489578247,1468.07836914062,8.94600009918213,176
46,221,30.646162,742213,3440850,-0.00939499959349632,0.000452999986009672,3.47345590591431,15.2789659500122,1310.13256835938,7.92199993133545,102
48,223,10.422747,684977,3449190,-0.0186630003154278,-7.999999797903e-05,1.06716299057007,15.6198759078979,1326.82397460938,8.50399971008301,26
49,224,17.761764,709656,3424410,0.000717999995686114,0.000232999998843297,0.836391985416412,15.4693851470947,1382.40502929688,15.9689998626709,33
50,225,31.514699,671453,3407370,0.0194099992513657,0.000161000003572553,2.19823789596558,15.3386840820312,1468.87719726562,8.0019998550415,68
51,226,15.247784,724421,3424760,0.0172039996832609,0.000132000001030974,0.982562005519867,15.4250440597534,1359.83422851562,11.3920001983643,45
52,227,18.309781,715669,3435020,0,0,0,15.5977096557617,1333.61682128906,10.3190002441406,20
53,228,24.445933,672988,3396090,0.0449730008840561,0.00152100005652755,13.8316221237183,13.5047254562378,1646.0439453125,7.63399982452393,311
54,229,6.065985,735951.8648,3419137.772,-0.00529900006949902,-9.40000027185306e-05,1.42767000198364,15.4221172332764,1355.48449707031,8.46500015258789,57
55,230,21.663747,676083,3432940,-0.00516299996525049,2.59999997069826e-05,0.453750014305115,15.676251411438,1375.69958496094,18.05299949646,7
56,231,12.468474,658999,3460600,0.00828799977898598,-3.70000016118865e-05,0.365123003721237,15.7432098388672,1309.73217773438,14.1759996414185,6
57,232,6.335209,661759.6884,3433608.935,-0.00615199981257319,-4.50000006821938e-05,2.99212288856506,15.6145505905151,1390.58435058594,7.57200002670288,55
58,233,18.591066,661802.1148,3422442.975,-0.00694300001487136,-0.000216000000364147,2.12387800216675,15.5590305328369,1427.00891113281,8.28400039672852,71
59,234,18.583329,672318,3425540,0,0,0,15.686619758606,1403.97326660156,12.9350004196167,11
61,236,15.031185,699482,3440910,-0.0119399996474385,-8.49999996717088e-05,0.939777016639709,15.5788068771362,1341.3623046875,8.94699954986572,31
62,237,18.109007,716065,3403550,-0.00028000000747852,0.000853999983519316,2.59469103813171,15.0180940628052,1443.93994140625,16.2059993743896,73
63,238,20.598152,650768,3427830,0.000487999990582466,-3.40000005962793e-05,2.44769811630249,15.6882457733154,1408.03393554688,9.21500015258789,19
