"x","y","EMv1mt","EMv05mt"
60.69521667,41.53364298,82.2,145.4
60.69521667,41.53363018,77.4,139.4
60.69521667,41.53361741,66.7,132.3
60.69520464,41.53360464,59.6,123.9
60.6952,41.53359188,52.4,119.1
60.6952,41.53357912,50,118
60.69518689,41.53355356,39.3,110.8
60.69518333,41.53354079,40.5,112
60.69518333,41.53352803,39.3,112
60.69518193,41.53351526,36.9,110.8
60.69516918,41.53350252,36.9,109.6
60.69516667,41.53348974,38.1,109.6
60.69516667,41.53347695,35.7,110.8
60.69516667,41.53346418,36.9,109.6
60.69516667,41.53345141,35.7,109.6
60.69515532,41.53343865,36.9,112
60.69515,41.53342587,35.7,109.6
60.69515,41.53341309,36.9,110.8
60.69515,41.53340033,36.9,110.8
60.69513756,41.5334,38.1,112
60.69513333,41.53339147,38.1,110.8
60.69513333,41.53337869,36.9,110.8
60.69513333,41.53336592,36.9,109.6
60.69513333,41.53335309,34.6,109.6
60.69512371,41.53334038,36.9,109.6
60.69511667,41.53332761,36.9,109.6
60.69511667,41.53331485,41.7,113.2
60.69511667,41.53330208,46.5,119.1
60.69510597,41.5332893,53.6,126.3
60.6951,41.53327654,60.8,133.4
60.6951,41.53326377,69.1,137
60.6951,41.53325099,69.1,141.8
60.69508823,41.53323823,69.1,135.8
60.69508333,41.53322545,64.3,128.7
60.69508333,41.5332127,56,123.9
60.69508333,41.53319992,53.6,122.7
60.69508333,41.53318714,50,121.5
60.69507438,41.53318333,47.7,119.1
60.69506667,41.53317827,45.3,116.8
60.69506667,41.53316552,40.5,113.2
60.69506667,41.53315282,39.3,113.2
60.69505667,41.53314001,38.1,112
60.69505,41.53312721,39.3,113.2
60.69505,41.53311442,38.1,112
60.69505,41.53310165,38.1,112
60.69503891,41.53308891,38.1,112
60.69503333,41.53307614,36.9,113.2
60.69503333,41.53306335,34.6,110.8
60.69503333,41.53305058,33.4,112
60.69503333,41.5330378,35.7,112
60.69502504,41.53302504,34.6,110.8
60.69501667,41.53301229,35.7,112
60.69501667,41.53299951,34.6,112
60.69501667,41.53298674,34.6,112
60.6950073,41.53297397,38.1,112
60.695,41.53296667,36.9,112
60.695,41.53296509,38.1,113.2
60.695,41.53295233,36.9,112
60.695,41.53293956,38.1,113.2
60.695,41.53292678,40.5,113.2
60.69499735,41.53291402,40.5,114.4
60.69498459,41.53290125,41.7,115.6
60.69498333,41.53288847,40.5,116.8
60.69498333,41.53287572,41.7,115.6
60.69498333,41.53286298,40.5,115.6
60.69498333,41.53285017,39.3,114.4
60.69497073,41.53283739,40.5,114.4
60.69496667,41.53282463,41.7,115.6
60.69496667,41.53281186,40.5,115.6
60.69496576,41.53279909,42.9,116.8
60.69495298,41.53278632,41.7,116.8
60.69495,41.53277355,42.9,118
60.69495,41.53276079,45.3,119.1
60.69494801,41.53274801,47.7,120.3
60.69493524,41.53273524,51.2,122.7
60.69493333,41.53273333,53.6,126.3
60.69493333,41.53271944,58.4,131.1
60.69493029,41.5327,59.6,131.1
60.6949175,41.5327,58.4,128.7
60.69491667,41.53268806,53.6,126.3
60.69491667,41.5326753,53.6,127.5
60.69491253,41.53266253,48.9,122.7
60.6949,41.53264976,47.7,121.5
60.6949,41.53263699,45.3,119.1
60.6949,41.53262421,45.3,118
60.6949,41.53261145,46.5,120.3
60.69489868,41.53259868,45.3,118
60.69488593,41.53258593,45.3,118
60.69488333,41.53257316,46.5,119.1
60.69488333,41.53256037,46.5,118
60.69488092,41.53254759,45.3,116.8
60.69486817,41.53253483,45.3,116.8
60.69486667,41.53252206,46.5,116.8
60.69486667,41.53250929,44.1,115.6
60.69486319,41.53249653,44.1,115.6
60.69485042,41.53248376,42.9,115.6
60.69485,41.53247098,42.9,115.6
60.69485,41.53245822,42.9,115.6
60.69485,41.53244545,42.9,116.8
60.69484936,41.53243269,42.9,116.8
60.69483658,41.53241991,44.1,118
60.69483333,41.53240714,42.9,116.8
60.69483333,41.53239436,42.9,118
60.6948316,41.5323816,42.9,118
60.69481883,41.53236883,42.9,118
60.69481667,41.53235606,44.1,118
60.69481667,41.53234329,44.1,118
60.69481385,41.53233052,41.7,116.8
60.69480109,41.53231775,42.9,116.8
60.6948,41.53230499,40.5,115.6
60.6948,41.53229221,41.7,116.8
60.69479611,41.53228333,41.7,116.8
60.69478336,41.53228333,42.9,118
60.69478333,41.53225782,42.9,118
60.69478333,41.53225,42.9,116.8
60.69478333,41.53224504,41.7,116.8
60.69478227,41.53223227,41.7,116.8
60.6947695,41.5322195,41.7,116.8
60.69476667,41.53220676,41.7,115.6
60.69476667,41.53219399,42.9,116.8
60.6947645,41.53218117,41.7,119.1
60.69475174,41.53216841,42.9,119.1
60.69475,41.53215565,41.7,119.1
60.69475,41.53214287,42.9,120.3
60.69474678,41.53213012,44.1,119.1
60.694734,41.53211733,46.5,121.5
60.69473333,41.53210457,46.5,123.9
60.69473333,41.5320918,48.9,122.7
60.69473333,41.53207905,52.4,125.1
60.69473296,41.53206629,48.9,123.9
60.69472017,41.5320535,53.6,126.3
60.69471667,41.53204073,52.4,127.5
60.69471129,41.53202795,51.2,126.3
60.6947,41.53201518,52.4,125.1
60.6947,41.53200242,50,123.9
60.6947,41.53198964,48.9,122.7
60.69469354,41.53197688,48.9,122.7
60.69468333,41.53196412,51.2,125.1
60.69468333,41.53195133,48.9,123.9
60.69468333,41.53193856,45.3,123.9
60.6946758,41.5319258,48.9,123.9
60.69466667,41.53191303,47.7,122.7
60.69466667,41.53190026,48.9,122.7
60.69465416,41.5318875,48.9,123.9
60.69465,41.53187472,51.2,127.5
60.69465,41.53186195,50,126.3
60.69464919,41.53184919,50,126.3
60.69463641,41.53183641,48.9,125.1
60.69463333,41.5318237,47.7,123.9
60.69463333,41.53181095,48.9,125.1
60.69463144,41.5317981,48.9,125.1
60.69461867,41.53178533,50,126.3
60.69461667,41.53177257,48.9,126.3
60.69461667,41.5317598,51.2,128.7
60.69461369,41.53174703,53.6,129.9
60.69460092,41.53173426,53.6,133.4
