"ID","original_I","SOM_A_hori","s1","s2","plan.curvature","profile.curvature","slope","temperature","precipitation","twi","dem","sample","stratum","SOM_RF","SOM_KED"
156,432,20.238919,685436,3454690,0.00652900012210011,-4.80000016978011e-05,2.94187593460083,15.5321321487427,1322.67407226562,8.56999969482422,44,"STSI",6,15.0402098238499,17.0380159687918
157,433,20.574472,702526,3449520,-0.0127180004492402,3.00000010611257e-06,0.358812987804413,15.6291351318359,1310.26220703125,18.681999206543,13,"STSI",6,16.2199143256924,15.68065998486
158,434,22.702124,697729,3447830,0,0,0,15.6503248214722,1319.79956054688,18.8460006713867,9,"STSI",6,18.5374010067735,15.5380475502111
159,435,21.410082,714609,3442960,0.00233300006948411,5.2999999752501e-05,0.426266014575958,15.5976409912109,1314.24523925781,11.8240003585815,19,"STSI",6,15.2244000346947,16.6754988045981
160,436,17.95065,711497,3440730,0,0,0,15.6174297332764,1322.9892578125,20.6959991455078,14,"STSI",6,18.6166617461153,16.4115249423289
161,437,18.425811,718531,3428460,0.00299599999561906,0.00012300000526011,1.44807696342468,15.5006351470947,1352.42224121094,9.23400020599365,30,"STSI",6,18.0145956588133,17.6296190104943
162,438,17.720363,667905,3436860,-0.00659199990332127,-5.7000001106644e-05,0.316017985343933,15.6937456130981,1366.748046875,21.6730003356934,8,"STSI",6,17.3347299917038,15.5028706584455
163,439,23.380274,659577,3433450,-0.00225999997928739,-1.99999999495049e-06,0.353610008955002,15.6897602081299,1389.26892089844,9.40799999237061,15,"STSI",6,15.2040266401864,16.0848582452293
164,440,13.905374,666744.7412,3431087.392,-0.00364500004798174,-0.000410000007832423,11.1410865783691,15.6410007476807,1387.10241699219,6.10400009155273,66,"STSI",6,19.1128560941599,19.4572789186773
165,441,21.661569,738486.0316,3430363.418,-0.00292399991303682,-4.19999996665865e-05,0.530380010604858,15.4862565994263,1326.95141601562,9.30099964141846,36,"STSI",6,15.08637785783,17.8995747247182
166,442,22.811637,732996,3430300,0.00580599997192621,0.00012599999899976,1.09825098514557,15.5506639480591,1327.96154785156,9.25300025939941,31,"STSI",6,16.7269324975381,17.621560963879
167,443,16.320547,671143,3438530,-0.0129199996590614,-1.20000004244503e-05,0.177939996123314,15.6944761276245,1360.7138671875,16.57200050354,11,"STSI",6,17.9168173519117,15.4949909367744
168,444,24.39304,677258,3432680,-0.00628900015726686,-1.80000006366754e-05,0.151219993829727,15.6548357009888,1376.7705078125,10.9370002746582,18,"STSI",6,16.4809645030491,18.4929782560625
169,445,11.388434,694958,3432490,-0.00103199994191527,0.00015700000221841,1.88357102870941,15.5803833007812,1369.64660644531,10.8179998397827,19,"STSI",6,16.0380136967829,16.6236687089472
170,446,12.681823,651659,3431780,-0.00249699992127717,-4.4000000343658e-05,0.679475009441376,15.6378231048584,1401.05883789062,11.9580001831055,31,"STSI",6,14.9144876778876,17.2755999483421
171,447,17.944305,668108,3426420,0,0,0,15.7023801803589,1402.18933105469,11.4079999923706,12,"STSI",6,19.5563245660184,15.9932336638275
172,448,20.004307,674190,3423920,0,0,0,15.6742115020752,1407.97204589844,11.3229999542236,13,"STSI",6,18.8985547520809,16.0887797960602
173,449,18.954806,728518,3416950,-0.00808599963784218,-8.49999996717088e-05,1.0690850019455,15.3221082687378,1374.55883789062,8.86600017547607,65,"STSI",6,15.5634908672566,19.4641294685599
174,450,12.946003,675606,3408380,-0.00527899991720915,2.2000000171829e-05,0.688058018684387,15.4537754058838,1458.96459960938,14.1140003204346,55,"STSI",6,16.4686030930766,19.9703657935214
175,451,16.238817,686868.722,3407023.06,-0.00475999992340803,-1.70000002981396e-05,1.17810595035553,15.556131362915,1452.44213867188,8.78600025177002,32,"STSI",6,15.1243549446233,18.4032646692344
176,452,22.791641,683966,3445890,-0.00304699991829693,-2.59999997069826e-05,1.15214395523071,15.6480541229248,1334.73413085938,10.0950002670288,9,"STSI",7,16.3668752879452,15.6001899751263
177,454,18.936167,702413,3439970,-0.00512500014156103,0.000216999993426725,1.14179503917694,15.5620441436768,1339.95874023438,9.20499992370605,19,"STSI",7,15.3898073942067,16.5667978800962
178,455,13.128949,729251,3439680,-0.00425799982622266,0.00049200002104044,9.55866146087646,15.2331981658936,1324.57104492188,7.4229998588562,122,"STSI",7,24.43677813877,22.4867646803838
179,456,14.087077,649231,3420850,-0.00164200004655868,8.3999999333173e-05,1.68819105625153,15.6685380935669,1430.80395507812,8.99300003051758,30,"STSI",7,15.14696525681,18.000932196836
180,457,14.76566,662910,3426690,0.00778000010177493,0.000274999998509884,3.68615102767944,15.3483066558838,1432.09838867188,7.4980001449585,82,"STSI",7,21.6506373072068,21.204686242785
181,458,17.379191,666940,3417790,0.00320299994200468,0.000278999999864027,1.44496095180511,15.5645933151245,1433.76831054688,9.77099990844727,26,"STSI",7,17.7850443553534,17.8869339425941
182,459,14.130307,645062,3416540,0.00267999991774559,0.000243999995291233,1.50751602649689,15.677267074585,1444.22497558594,9.22599983215332,38,"STSI",7,18.41664663988,18.7673955158934
183,460,23.569798,702384,3415840,0.117178000509739,0.000571999989915639,3.10604095458984,15.198823928833,1431.20080566406,10.5129995346069,82,"STSI",7,24.4890551760266,21.9811829880672
184,461,24.009571,656893,3403040,-0.0146070001646876,-8.80000006873161e-05,1.51690602302551,14.9380435943604,1525.22729492188,8.26700019836426,147,"STSI",7,23.6138773537233,26.4227205928034
185,462,27.672859,711554,3409980,-0.00120099994819611,0.000209000005270354,3.38443493843079,15.2424793243408,1430.94604492188,8.02099990844727,84,"STSI",8,23.0405892514134,20.917524528262
186,463,18.382557,721554,3409530,0.0125850001350045,0.00199100002646446,6.22058200836182,14.2624988555908,1465.14001464844,12.8269996643066,190,"STSI",8,30.4291510969232,26.9333477638689
187,464,31.617557,733718,3406990,0.0046470002271235,0.000675000017508864,2.21582102775574,14.8497114181519,1413.22338867188,16.9740009307861,88,"STSI",8,22.0452452134134,21.2073991424203
188,465,14.991634,711396,3395780,-0.00227500009350479,0.00294600008055568,9.25164794921875,14.3292417526245,1526.96032714844,14.2519998550415,146,"STSI",8,32.9214080427601,25.8104967392811
